Date,Asset,Ticker,Open,High,Low,Close,Adj Close,Volume,SMA_50,SMA_200,RSI_14,ATR_14,ADX_14,PLUS_DI_14,MINUS_DI_14,BB_Lower_20_2,BB_Middle_20,BB_Upper_20_2,MACD_12_26,MACDsignal_9,MACDhist,OBV,Stoch_%D_3,Stoch_%K_14_3,Daily_Info
2023-04-03,GOLD,GC=F,1968.0999755859375,1991.699951171875,1950.0,1983.9000244140625,1983.9000244140625,737,,,,41.699951171875,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,"日期：2023/04/03
商品：GOLD
代號：GC=F

開：1968.1000
高：1991.7000
低：1950.0000
收：1983.9000
成交量：737

各種技術指標：
ADX_14：N/A
ATR_14：41.7000
BB_Lower_20_2：N/A
BB_Middle_20：N/A
BB_Upper_20_2：N/A
MACD_12_26：0.0000
MACDhist：0.0000
MACDsignal_9：0.0000
MINUS_DI_14：0.0000
OBV：0
PLUS_DI_14：0.0000
RSI_14：N/A
SMA_200：N/A
SMA_50：N/A
Stoch_%D_3：N/A
Stoch_%K_14_3：N/A
"
2023-04-04,GOLD,GC=F,1984.5999755859375,2027.0999755859375,1979.0,2022.199951171875,2022.199951171875,811,,,100.0,42.157095772879465,100.0,5.997977626484695,0.0,,,,3.05526481258903,0.611052962517806,2.444211850071224,811.0,,,"日期：2023/04/04
商品：GOLD
代號：GC=F

開：1984.6000
高：2027.1000
低：1979.0000
收：2022.2000
成交量：811

各種技術指標：
ADX_14：100.0000
ATR_14：42.1571
BB_Lower_20_2：N/A
BB_Middle_20：N/A
BB_Upper_20_2：N/A
MACD_12_26：3.0553
MACDhist：2.4442
MACDsignal_9：0.6111
MINUS_DI_14：0.0000
OBV：811
PLUS_DI_14：5.9980
RSI_14：100.0000
SMA_200：N/A
SMA_50：N/A
Stoch_%D_3：N/A
Stoch_%K_14_3：N/A
"
2023-04-05,GOLD,GC=F,2022.0999755859375,2033.800048828125,2013.5999755859375,2020.9000244140625,2020.9000244140625,525,,,99.73959747036146,40.588737020687184,100.0,6.963846797423529,0.0,,,,5.310475111713913,1.5509373923570275,3.7595377193568855,286.0,,,"日期：2023/04/05
商品：GOLD
代號：GC=F

開：2022.1000
高：2033.8000
低：2013.6000
收：2020.9000
成交量：525

各種技術指標：
ADX_14：100.0000
ATR_14：40.5887
BB_Lower_20_2：N/A
BB_Middle_20：N/A
BB_Upper_20_2：N/A
MACD_12_26：5.3105
MACDhist：3.7595
MACDsignal_9：1.5509
MINUS_DI_14：0.0000
OBV：286
PLUS_DI_14：6.9638
RSI_14：99.7396
SMA_200：N/A
SMA_50：N/A
Stoch_%D_3：N/A
Stoch_%K_14_3：N/A
"
2023-04-06,GOLD,GC=F,2022.199951171875,2023.300048828125,2005.0,2011.9000244140625,2011.9000244140625,0,,,97.83996408812447,38.9966878640756,97.29061869229831,6.7304226943513035,1.5752208817456925,,,,6.298910814883584,2.5005320768623394,3.7983787380212446,286.0,,,"日期：2023/04/06
商品：GOLD
代號：GC=F

開：2022.2000
高：2023.3000
低：2005.0000
收：2011.9000
成交量：0

各種技術指標：
ADX_14：97.2906
ATR_14：38.9967
BB_Lower_20_2：N/A
BB_Middle_20：N/A
BB_Upper_20_2：N/A
MACD_12_26：6.2989
MACDhist：3.7984
MACDsignal_9：2.5005
MINUS_DI_14：1.5752
OBV：286
PLUS_DI_14：6.7304
RSI_14：97.8400
SMA_200：N/A
SMA_50：N/A
Stoch_%D_3：N/A
Stoch_%K_14_3：N/A
"
2023-04-10,GOLD,GC=F,2000.0,2006.5999755859375,1984.0,1989.0999755859375,1989.0999755859375,652,,,93.0071882877463,38.20406904621752,90.92247084316341,6.379340126115302,5.419335153699362,,,,5.182736478486277,3.0369729571871273,2.1457635212991493,-366.0,,,"日期：2023/04/10
商品：GOLD
代號：GC=F

開：2000.0000
高：2006.6000
低：1984.0000
收：1989.1000
成交量：652

各種技術指標：
ADX_14：90.9225
ATR_14：38.2041
BB_Lower_20_2：N/A
BB_Middle_20：N/A
BB_Upper_20_2：N/A
MACD_12_26：5.1827
MACDhist：2.1458
MACDsignal_9：3.0370
MINUS_DI_14：5.4193
OBV：-366
PLUS_DI_14：6.3793
RSI_14：93.0072
SMA_200：N/A
SMA_50：N/A
Stoch_%D_3：N/A
Stoch_%K_14_3：N/A
"
2023-04-11,GOLD,GC=F,1991.4000244140625,2006.5,1991.4000244140625,2004.800048828125,2004.800048828125,68,,,93.25428059268205,36.71806585820645,85.00919069753814,6.163407740194928,5.235897690465518,,,,5.501605886913694,3.5298995431324407,1.9717063437812534,-298.0,,,"日期：2023/04/11
商品：GOLD
代號：GC=F

開：1991.4000
高：2006.5000
低：1991.4000
收：2004.8000
成交量：68

各種技術指標：
ADX_14：85.0092
ATR_14：36.7181
BB_Lower_20_2：N/A
BB_Middle_20：N/A
BB_Upper_20_2：N/A
MACD_12_26：5.5016
MACDhist：1.9717
MACDsignal_9：3.5299
MINUS_DI_14：5.2359
OBV：-298
PLUS_DI_14：6.1634
RSI_14：93.2543
SMA_200：N/A
SMA_50：N/A
Stoch_%D_3：N/A
Stoch_%K_14_3：N/A
"
2023-04-12,GOLD,GC=F,2005.199951171875,2025.699951171875,2005.199951171875,2010.9000244140625,2010.9000244140625,172,,,93.35256231588943,35.58819703574528,81.22972681956077,9.75846100926779,5.016262772295712,,,,6.175343722173693,4.0589883789406915,2.1163553432330016,-126.0,,,"日期：2023/04/12
商品：GOLD
代號：GC=F

開：2005.2000
高：2025.7000
低：2005.2000
收：2010.9000
成交量：172

各種技術指標：
ADX_14：81.2297
ATR_14：35.5882
BB_Lower_20_2：N/A
BB_Middle_20：N/A
BB_Upper_20_2：N/A
MACD_12_26：6.1753
MACDhist：2.1164
MACDsignal_9：4.0590
MINUS_DI_14：5.0163
OBV：-126
PLUS_DI_14：9.7585
RSI_14：93.3526
SMA_200：N/A
SMA_50：N/A
Stoch_%D_3：N/A
Stoch_%K_14_3：N/A
"
2023-04-13,GOLD,GC=F,2015.5999755859375,2048.60009765625,2015.5999755859375,2041.300048828125,2041.300048828125,1043,,,93.83465690655434,35.73904533620544,78.93737700415502,13.60003766898317,4.638297855976453,,,,9.05789988571064,5.058770680294682,3.999129205415958,917.0,,,"日期：2023/04/13
商品：GOLD
代號：GC=F

開：2015.6000
高：2048.6001
低：2015.6000
收：2041.3000
成交量：1043

各種技術指標：
ADX_14：78.9374
ATR_14：35.7390
BB_Lower_20_2：N/A
BB_Middle_20：N/A
BB_Upper_20_2：N/A
MACD_12_26：9.0579
MACDhist：3.9991
MACDsignal_9：5.0588
MINUS_DI_14：4.6383
OBV：917
PLUS_DI_14：13.6000
RSI_14：93.8347
SMA_200：N/A
SMA_50：N/A
Stoch_%D_3：N/A
Stoch_%K_14_3：N/A
"
2023-04-14,GOLD,GC=F,2041.0,2047.800048828125,1995.0,2002.199951171875,2002.199951171875,718,,,85.26905248358288,36.95768844277113,74.72550392007727,12.212190640890489,8.14635431149677,,,,8.093992794698579,5.665815103175461,2.4281776915231177,199.0,,,"日期：2023/04/14
商品：GOLD
代號：GC=F

開：2041.0000
高：2047.8000
低：1995.0000
收：2002.2000
成交量：718

各種技術指標：
ADX_14：74.7255
ATR_14：36.9577
BB_Lower_20_2：N/A
BB_Middle_20：N/A
BB_Upper_20_2：N/A
MACD_12_26：8.0940
MACDhist：2.4282
MACDsignal_9：5.6658
MINUS_DI_14：8.1464
OBV：199
PLUS_DI_14：12.2122
RSI_14：85.2691
SMA_200：N/A
SMA_50：N/A
Stoch_%D_3：N/A
Stoch_%K_14_3：N/A
"
2023-04-17,GOLD,GC=F,2002.699951171875,2007.5999755859375,1983.199951171875,1994.199951171875,1994.199951171875,554,,,83.5877942020997,36.060712440720515,69.89196726971117,11.62196034469853,10.089968630462332,,,,6.608379059065783,5.854327894353526,0.7540511647122567,-355.0,,,"日期：2023/04/17
商品：GOLD
代號：GC=F

開：2002.7000
高：2007.6000
低：1983.2000
收：1994.2000
成交量：554

各種技術指標：
ADX_14：69.8920
ATR_14：36.0607
BB_Lower_20_2：N/A
BB_Middle_20：N/A
BB_Upper_20_2：N/A
MACD_12_26：6.6084
MACDhist：0.7541
MACDsignal_9：5.8543
MINUS_DI_14：10.0900
OBV：-355
PLUS_DI_14：11.6220
RSI_14：83.5878
SMA_200：N/A
SMA_50：N/A
Stoch_%D_3：N/A
Stoch_%K_14_3：N/A
"
